COMMON_NAME,SCIENTIFIC_NAME,obs
Colima x Virginia's Warbler (hybrid),Oreothlypis crissalis x virginiae,9
Redhead x Lesser Scaup (hybrid),Aythya americana x affinis,9
Summer x Western Tanager (hybrid),Piranga rubra x ludoviciana,9
Yellow-rumped x Townsend's Warbler (hybrid),Setophaga coronata x townsendi,9
Barrow's Goldeneye x Hooded Merganser (hybrid,Bucephala islandica x Lophodytes cucullatus,10
Mallard x Green-winged Teal (hybrid),Anas platyrhynchos x crecca,10
Nelson's x Saltmarsh Sparrow (hybrid),Ammospiza nelsoni x caudacuta,10
Slaty-backed x Glaucous-winged Gull (hybrid),Larus schistisagus x glaucescens,10
Yellow-bellied x Red-breasted Sapsucker (hybr,Sphyrapicus varius x ruber,10
Anna's Hummingbird x Selasphorus sp. (hybrid),Calypte anna x Selasphorus sp.,11
Broad-tailed x Calliope Hummingbird (hybrid),Selasphorus platycercus x calliope,11
Snow x McKay's Bunting (hybrid),Plectrophenax nivalis x hyperboreus,11
White x Scarlet Ibis (hybrid),Eudocimus albus x ruber,11
Wood Duck x Hooded Merganser (hybrid),Aix sponsa x Lophodytes cucullatus,11
Cerulean Warbler x Northern Parula (hybrid),Setophaga cerulea x americana,12
Common Yellowthroat x Rufous-capped Warbler (,Geothlypis trichas x Basileuterus rufifrons,12
Downy x Nuttall's Woodpecker (hybrid),Dryobates pubescens x nuttallii,13
Mallard x Redhead (hybrid),Anas platyrhynchos x Aythya americana,14
Spotted x Barred Owl (hybrid),Strix occidentalis x varia,14
Sutton's Warbler (hybrid),Setophaga americana x dominica,15
Townsend's x Black-throated Green Warbler (hy,Setophaga townsendi x virens,16
Northern Shoveler x Mallard (hybrid),Spatula clypeata x Anas platyrhynchos,17
Redhead x scaup sp. (hybrid),Aythya americana x marila/affinis,17
Scaled x Gambel's Quail (hybrid),Callipepla squamata x gambelii,17
Sandwich x Elegant Tern (hybrid),Thalasseus sandvicensis x elegans,18
