COMMON_NAME,N
Bourke's Parrot,1
Brambling,2490
Brandt's Cormorant,169745
Brant,218343
Brant x Cackling Goose (hybrid),5
Brewer's Blackbird,663586
Brewer's Sparrow,102307
Brewster's Warbler (hybrid),2365
Bridled Tern,3989
Bridled Titmouse,72971
Bristle-thighed Curlew,2263
Broad-billed Hummingbird,81112
Broad-billed x Violet-crowned Hummingbird (hy,1
Broad-tailed Hummingbird,173339
Broad-tailed Paradise-Whydah,14
Broad-tailed x Calliope Hummingbird (hybrid),11
Broad-winged Hawk,237098
Brolga,1
Bronze-tailed Peacock-Pheasant,6
Bronze Mannikin,812
Bronzed Cowbird,53779
Brown-capped Rosy-Finch,6904
Brown-chested Martin,3
Brown-crested Flycatcher,53701
Brown-headed Cowbird,2212141
Brown-headed Nuthatch,297476
Brown Booby,23432
Brown Creeper,672314
Brown Jay,269
Brown Noddy,3336
Brown Pelican,743398
Brown Shrike,227
Brown Thrasher,1001588
Budgerigar,864
Budgerigar (Domestic type),543
Buff-bellied Hummingbird,45814
Buff-breasted Flycatcher,5124
Buff-breasted Sandpiper,22618
Buff-collared Nightjar,1057
Bufflehead,1366063
Bufflehead x Common Goldeneye (hybrid),264
Bufflehead x goldeneye sp. (hybrid),3
Bufflehead x Hooded Merganser (hybrid),7
Buller's Shearwater,15610
Bullock's Oriole,262169
Bullock's x Baltimore Oriole (hybrid),530
Bulwer's Petrel,1180
Burrowing Owl,72071
Burrowing Parakeet,54
Bushtit,688086
Cackling Goose,246880
Cactus Wren,148346
California Condor,7462
California Gnatcatcher,15868
California Gull,541385
California Quail,385700
California Scrub-Jay,901179
California Thrasher,110539
California Towhee,587616
California x Gambel's Quail (hybrid),127
California x Herring Gull (hybrid),5
Calliope Hummingbird,46540
Canada Goose,5162389
Canada Jay,58805
Canada Warbler,119518
Canvasback,300031
Canvasback x Redhead (hybrid),104
Canvasback x Ring-necked Duck (hybrid),1
Canyon Towhee,118163
Canyon Wren,136980
Canyon x Abert's Towhee (hybrid),2
Cape May Warbler,133211
Carolina Chickadee,2475889
Carolina Wren,3248301
Carolina x Black-capped Chickadee (hybrid),2386
Caspian Tern,497560
Cassia Crossbill,865
Cassin's Auklet,37766
Cassin's Finch,125337
Cassin's Kingbird,197112
Cassin's Sparrow,32432
Cassin's Vireo,75418
Cattle Egret,421448
Cave Swallow,53516
Cedar Waxwing,1840479
Cerulean Warbler,55901
Cerulean Warbler x Northern Parula (hybrid),12
Chestnut-backed Chickadee,472826
Chestnut-bellied Sandgrouse,470
Chestnut-collared Longspur,14010
Chestnut-fronted Macaw,575
Chestnut-sided Warbler,393000
Chestnut-throated Seedeater,3
Chestnut Munia,4963
Chihuahuan Raven,45127
Chilean Flamingo,34
Chiloe Wigeon,56
Chimney Swift,1145998
Chinese Hwamei,3687
Chinese Pond-Heron,1
Chipping Sparrow,2270518
Chipping x Clay-colored Sparrow (hybrid),2
Christmas Shearwater,91
Chuck-will's-widow,45569
Chukar,18787
Cinereous Conebill,1
Cinnamon-rumped Seedeater,72
Cinnamon Teal,322144
Cinnamon Teal x Northern Shoveler (hybrid),109
Cinnamon x Green-winged Teal (hybrid),52
Citrine Wagtail,3
Clapper Rail,122040
Clark's Grebe,109374
Clark's Nutcracker,84950
Clay-colored Sparrow,118186
Clay-colored Thrush,22741
Clay-colored x Brewer's Sparrow (hybrid),4
Clay-colored x Field Sparrow (hybrid),1
Cliff Swallow,672233
Cliff x Cave Swallow (hybrid),5
Cockatiel,341
Cockatiel (Domestic type),113
Colima Warbler,1426
Colima x Virginia's Warbler (hybrid),9
Collared Finchbill,1
Collared Plover,331
Common Black Hawk,11791
Common Black x Red-shouldered Hawk (hybrid),2
Common Chaffinch,65
Common Chiffchaff,161
Common Crane,620
Common Cuckoo,313
Common Eider,188382
Common Gallinule,437532
Common Goldeneye,671381
Common Goldeneye x Hooded Merganser (hybrid),430
Common Grackle,3042823
Common Greenshank,561
Common Ground-Dove,187925
Common Hill Myna,1272
Common House-Martin,54
Common Loon,737285
Common Merganser,819008
Common Murre,135230
Common Myna,50477
Common Nighthawk,263412
Common Ostrich,12
Common Pauraque,18092
Common Pochard,450
Common Poorwill,30319
Common Quail,11
Common Raven,1954367
Common Redpoll,123913
Common Redstart,7
Common Ringed Plover,951
Common Rosefinch,105
Common Sandpiper,311
Common Scoter,489
Common Shelduck,608
Common Snipe,761
Common Swift,3
Common Tern,238778
Common Waxbill,11970
Common x Barrow's Goldeneye (hybrid),502
Common x Hoary Redpoll (hybrid),1
Common x Thick-billed Murre (hybrid),1
Common Yellowthroat,2200250
Common Yellowthroat x Rufous-capped Warbler (,12
Congo Peacock,8
Connecticut Warbler,10801
Cook's Petrel,1580
Cooper's Hawk,1190311
Cordilleran Flycatcher,48144
Corn Crake,164
Cory's Shearwater,27540
Coscoroba Swan,187
Costa's Hummingbird,77073
Couch's Kingbird,62433
Craveri's Murrelet,1892
Crescent-chested Warbler,23
Crested Auklet,5556
Crested Caracara,160507
Crested Duck,20
Crested Guineafowl,1
Crested Myna,2
Crested Oropendola,2
Crimson-collared Grosbeak,1151
Crimson-fronted Parakeet,196
Crimson-rumped Waxbill,1
Crimson Rosella,2
Crissal Thrasher,32021
Cuban Blackbird,2
Cuban Bullfinch,11
Cuban Emerald,1
Cuban Grassquit,15
Cuban Martin,1
Cuban Pewee,60
Cuban Vireo,158
Curl-crested Aracari,1
Curlew Sandpiper,1625
Curve-billed Thrasher,217838
Cut-throat,2
Dark-eyed Junco,3680378
Dark-eyed Junco x White-throated Sparrow (hyb,76
Dark-sided Flycatcher,36
Demoiselle Crane,1
Diamond Dove,21
Diamond Firetail,3
Dickcissel,207639
Domestic goose sp. (Domestic type),25669
Domestic goose sp. (Domestic type) x Canada G,2483
Double-crested Cormorant,2896776
Double-toothed Kite,5
Dovekie,6211
Downy Woodpecker,4649487
Downy x Hairy Woodpecker (hybrid),8
Downy x Ladder-backed Woodpecker (hybrid),280
Downy x Nuttall's Woodpecker (hybrid),13
Dunlin,371083
Dunlin x White-rumped Sandpiper (hybrid),50
Dusky-capped Flycatcher,27811
Dusky-headed Parakeet,1
Dusky Flycatcher,72341
Dusky Grouse,8856
Dusky Thrush,114
Dusky Warbler,366
Dusky x Sharp-tailed Grouse (hybrid),1
Eared Dove,1
Eared Grebe,310532
Eared Quetzal,1
Eastern Bluebird,2139900
Eastern Kingbird,1052875
Eastern Meadowlark,695966
Eastern Paradise-Whydah,2
Eastern Phoebe,2049074
Eastern Screech-Owl,131578
Eastern Towhee,1597007
Eastern Whip-poor-will,43274
Eastern Wood-Pewee,914816
Eastern x Mountain Bluebird (hybrid),2
Eastern Yellow Wagtail,3031
Eclectus Parrot,3
Egyptian Goose,35369
Elegant Tern,79460
Elegant Trogon,10021
Elf Owl,9293
Emerald Starling,2
Emperor Goose,3279
Emu,17
Epaulet Oriole,1
Erckel's Francolin,6607
Eurasian Bullfinch,45
Eurasian Collared-Dove,1436954
Eurasian Collared-Dove x Mourning Dove (hybri,22
Eurasian Hobby,128
Eurasian Jay,1
Eurasian Linnet,5
Eurasian Magpie,2
Eurasian Moorhen,1
Eurasian Oystercatcher,1
Eurasian River Warbler,3
Eurasian Siskin,8
Eurasian Skylark,6720
Eurasian Tree Sparrow,20759
Eurasian Wigeon,57455
Eurasian Wryneck,2
Eurasian x African Collared-Dove (hybrid),5
Eurasian x American Wigeon (hybrid),2899
European Golden-Plover,37
European Goldfinch,2493
European Greenfinch,18
European Robin,5
European Starling,5293367
European Storm-Petrel,52
European Turtle-Dove,3
Evening Grosbeak,113898
Eyebrowed Thrush,427
Falcated Duck,741
Fan-tailed Warbler,146
Far Eastern Curlew,59
Fea's Petrel,246
Ferruginous Duck,7
Ferruginous Hawk,70717
Ferruginous Pygmy-Owl,1638
Field Sparrow,872671
Fieldfare,249
Fischer's Lovebird,89
Fish Crow,1003024
Five-striped Sparrow,2320
Flame-colored Tanager,1132
Flammulated Owl,5419
Flesh-footed Shearwater,2303
Florida Scrub-Jay,16507
Fork-tailed Flycatcher,3159
Fork-tailed Storm-Petrel,12711
Forster's Tern,577899
Fox Sparrow,518186
Franklin's Gull,125753
Fulvous Whistling-Duck,29085
Gadwall,1158856
Gadwall x American Wigeon (hybrid),30
Gadwall x Green-winged Teal (hybrid),32
Gadwall x Mallard (hybrid),536
Gadwall x Northern Pintail (hybrid),150
Galah,1
Gambel's Quail,191135
Garganey,1017
Giant Wood-Rail,23
Gila Woodpecker,218841
Gilded Flicker,21708
Glaucous-winged Gull,305821
Glaucous-winged x Glaucous Gull (hybrid),739
Glaucous Gull,56525
Glaucous x Great Black-backed Gull (hybrid),39
Glossy Ibis,227431
Glossy x White-faced Ibis (hybrid),411
Golden-cheeked Warbler,10550
Golden-crowned Kinglet,826917
Golden-crowned Sparrow,478708
Golden-crowned Warbler,1023
Golden-crowned x White-throated Sparrow (hybr,5
Golden-fronted Woodpecker,183473
Golden-fronted x Red-bellied Woodpecker (hybr,104
Golden-winged Warbler,51469
Golden-winged x Blue-winged Warbler (hybrid),538
Golden Eagle,134453
Golden Grosbeak,1
Golden Pheasant,117
goldeneye sp. x Hooded Merganser (hybrid),54
Gouldian Finch,8
Grace's Warbler,23099
Grasshopper Sparrow,154396
Gray-backed Tern,83
Gray-cheeked Thrush,74879
Gray-crowned Rosy-Finch,22520
Gray-crowned Yellowthroat,291
Gray-faced Petrel,7
Gray-headed Chickadee,19
Gray-headed Swamphen,12639
Gray-hooded Gull,108
Gray-streaked Flycatcher,151
Gray-tailed Tattler,1059
Gray Bunting,10
Gray Catbird,2415444
Gray Crowned-Crane,15
Gray Flycatcher,48189
Gray Francolin,8530
Gray Go-away-bird,1
Gray Hawk,41915
Gray Kingbird,24432
Gray Parrot,3
Gray Partridge,11846
Gray Vireo,6945
Gray Wagtail,74
Graylag Goose,460
Graylag Goose (Domestic type),30330
Graylag Goose (Domestic type) x Canada Goose ,1564
Graylag x Canada Goose (hybrid),304
Graylag x Swan Goose (Domestic type) (hybrid),651
Great-tailed Grackle,796266
Great Argus,1
Great Black-backed Gull,779670
Great Black Hawk,784
Great Blue Heron,3870972
Great Blue Heron x Great Egret (hybrid),63
Great Cormorant,62760
Great Crested Flycatcher,937691
Great Egret,2325300
Great Frigatebird,6288
Great Horned Owl,432337
Great Kiskadee,105578
Great Knot,29
Great Knot x Surfbird (hybrid),1
Great Shearwater,23787
Great Skua,635
Great Thrush,1
Great Tit,249
Great White Pelican,68
Greater Amakihi,1
Greater Coucal,1
Greater Flamingo,84
Greater Necklaced Laughingthrush,163
Greater Pewee,10148
Greater Prairie-Chicken,8750
Greater Roadrunner,170045
Greater Sage-Grouse,6349
Greater Scaup,286959
Greater White-fronted Goose,193851
Greater White-fronted x Cackling Goose (hybri,129
Greater White-fronted x Canada Goose (hybrid),242
Greater Yellowlegs,841889
Green-breasted Mango,80
Green-cheeked Parakeet,1
Green-rumped Parrotlet,1
Green-tailed Towhee,112761
Green-winged Pytilia,1
Green-winged Teal,989556
Green Heron,844994
Green Honeycreeper,1
Green Jay,81198
Green Kingfisher,25752
Green Parakeet,9229
Green Peafowl,15
Green Sandpiper,13
Green Woodhoopoe,1
Groove-billed Ani,10895
Guadalupe Murrelet,515
Gull-billed Tern,48193
Hairy Woodpecker,1638402
Hammond's Flycatcher,60363
Harlequin Duck,85406
Harris's Hawk,60536
Harris's Sparrow,97804
Hawaii Akepa,1755
Hawaii Amakihi,16401
Hawaii Creeper,2073
Hawaii Elepaio,7299
Hawaiian Coot,12042
Hawaiian Duck,2185
Hawaiian Goose,9298
Hawaiian Hawk,3277
Hawaiian Petrel,1336
Hawfinch,434
Heermann's Gull,156059
Helmeted Guineafowl,476
Helmeted Guineafowl (Domestic type),1566
Henslow's Sparrow,36690
Hepatic Tanager,31035
Herald Petrel,4
Hermit Thrush,845384
Hermit Warbler,49061
Herring Gull,1808447
Herring x Glaucous-winged Gull (hybrid),9150
Herring x Glaucous Gull (hybrid),1217
Herring x Great Black-backed Gull (hybrid),374
Herring x Kelp Gull (hybrid),194
Herring x Lesser Black-backed Gull (hybrid),339
Himalayan Snowcock,321
Hoary Redpoll,11672
Hooded Crane,203
Hooded Crow,62
Hooded Merganser,860935
Hooded Oriole,140436
Hooded Warbler,236960
Hooded x Common Merganser (hybrid),1
Hooded x Yellow Warbler (hybrid),4
Hook-billed Kite,907
Horned Grebe,461423
Horned Lark,564919
Horned Puffin,11191
Hottentot Teal,3
House Crow,151
House Finch,4696923
House Sparrow,3893789
House Wren,1682694
House x Eurasian Tree Sparrow (hybrid),4
Hudsonian Godwit,22952
Humboldt Penguin,1
Hutton's Vireo,197036
Hyacinth Macaw,2
Iceland Gull,88441
Iiwi,9457
Inca Dove,158797
Indian Peafowl,8922
Indian Peafowl (Domestic type),5578
Indian Silverbill,10
Indigo Bunting,1115232
Intermediate Egret,2
Island Canary,1
Island Canary (Domestic type),14
Island Scrub-Jay,2369
Ivory Gull,1327
Jabiru,90
Jack Snipe,136
James's Flamingo,1
Jandaya Parakeet,1
Japanese Bush Warbler,3768
Japanese Quail,65
Japanese White-eye,45071
Java Sparrow,9248
Javan Munia,1
Jouanin's Petrel,15
Juan Fernandez Petrel,373
Juniper Titmouse,42324
Kalij Pheasant,4840
Kamchatka Leaf Warbler,9
Kauai Amakihi,997
Kauai Elepaio,1501
Keel-billed Toucan,7
Kelp Gull,228
Kentucky Warbler,82409
Kermadec Petrel,104
Key West Quail-Dove,188
Killdeer,2738472
King Eider,16535
King Penguin,1
King Rail,28317
Kirtland's Warbler,5062
Kittlitz's Murrelet,1940
La Sagra's Flycatcher,588
Ladder-backed Woodpecker,321673
Lady Amherst's Pheasant,3
Lanceolated Warbler,2
Lanner Falcon,1
Lapland Longspur,74419
Lark Bunting,50492
Lark Sparrow,323088
Laughing Dove,2
Laughing Gull,933050
Laughing Kookaburra,2
Laughing x Ring-billed Gull (hybrid),50
Lavender Waxbill,510
